Price,Room,Area,Age,Location,Floor
520000,2 + 1,250,50,Adalar,2
1700000,2 + 1,115,30,Adalar,2
1700000,2 + 1,115,30,Adalar,2
23500000,2 + 1,430,0,Adalar,4
1900000,2 + 1,90,30,Adalar,1
3100000,3 + 1,110,31,Adalar,2
3100000,3 + 1,110,31,Adalar,2
2400000,2 + 1,75,55,Adalar,2
5100000,3 + 1,110,35,Adalar,2
2150000,2 + 1,65,2,Adalar,14
520000,5 + 1,145,27,Adalar,2
520000,5 + 1,145,27,Adalar,2
2750000,5 + 1,65,40,Adalar,2
6950000,2 + 1,212,0,Adalar,2
9000000,2 + 1,248,0,Adalar,5
2150000,2 + 1,65,2,Adalar,14
6950000,2 + 1,212,0,Adalar,2
1900000,2 + 1,214,1,Adalar,10
3500000,6 + 1,150,4,Adalar,2
1400000,3 + 1,70,40,Adalar,5
3650000,2 + 1,95,2,Adalar,2
5500000,3 + 1,69,31,Adalar,4
5500000,3 + 1,69,31,Adalar,4
4250000,2 + 1,75,52,Adalar,3
5000000,2 + 1,290,5,Adalar,12
11000000,2 + 1,107,5,Adalar,7
1550000,2 + 1,105,27,Adalar,1
1550000,2 + 1,105,27,Adalar,1
3650000,2 + 1,95,2,Adalar,2
9000000,2 + 1,140,30,Adalar,3
5500000,6 + 1,115,33,Adalar,2
1950000,6 + 1,125,5,Adalar,3
1950000,6 + 1,125,5,Adalar,3
4800000,5 + 2,100,30,Adalar,2
12800000,6 + 1,186,5,Adalar,20
12800000,6 + 1,186,5,Adalar,20
14450000,5 + 2,130,31,Adalar,1
5500000,2 + 1,65,13,Adalar,1
8000000,2 + 1,195,36,Adalar,1
2150000,2 + 1,65,2,Adalar,14
2400000,5 + 1,74,5,Adalar,19
7650000,2 + 1,135,21,Adalar,7
5900000,2 + 1,140,42,Adalar,2
3350000,2 + 1,115,31,Adalar,1
3350000,2 + 1,115,31,Adalar,1
2500000,6 + 1,125,26,Adalar,3
3150000,5 + 2,100,12,Adalar,1
2500000,6 + 1,125,26,Adalar,3
4500000,2 + 1,150,6,Adalar,4
6000000,2 + 1,105,32,Adalar,2
6000000,2 + 1,82,35,Adalar,1
13750000,2 + 1,190,5,Adalar,4
13750000,2 + 1,190,5,Adalar,4
6500000,6 + 1,95,0,Adalar,8
6500000,6 + 1,95,0,Adalar,8
1550000,2 + 1,100,5,Adalar,1
10000000,6 + 1,125,5,Adalar,11
18385000,5 + 1,260,0,Adalar,9
5800000,5 + 1,170,21,Adalar,3
7650000,2 + 1,135,21,Adalar,7
10900000,2 + 1,178,35,Adalar,4
3500000,6 + 1,150,4,Adalar,2
999000,2 + 1,105,5,Adalar,4
2650000,2 + 1,100,9,Adalar,3
2400000,3 + 1,100,12,Adalar,2
1500000,2 + 1,60,5,Adalar,2
2650000,2 + 1,100,9,Adalar,3
2950000,6 + 1,80,5,Adalar,3
5999000,5 + 2,150,24,Adalar,3
2950000,6 + 1,80,5,Adalar,3
190000,6 + 1,41,0,Adalar,7
190000,6 + 1,41,0,Adalar,7
190000,6 + 1,41,0,Adalar,7
5700000,6 + 1,140,35,Adalar,1
3750000,2 + 1,85,39,Adalar,2
190000,6 + 1,41,0,Adalar,7
4550000,2 + 1,135,30,Adalar,3
212000,3 + 1,69,31,Adalar,1
5850000,2 + 1,160,30,Adalar,2
4500000,3 + 1,140,26,Adalar,2
5800000,6 + 1,120,31,Adalar,3
57750000,3 + 1,280,100,Adalar,3
3400000,3 + 1,100,8,Adalar,5
